index,timestamp_iso,pluvio2s_precipitation_mm,valid_data
197,2022-01-28T03:30:00,0.033,1
198,2022-01-31T09:10:00,0.088,1
199,2022-01-31T09:20:00,0.03,1
200,2022-01-31T09:30:00,0.124,1
201,2022-01-31T09:50:00,0.183,1
202,2022-01-31T10:00:00,0.32,1
203,2022-01-31T10:10:00,0.082,1
204,2022-01-31T10:20:00,0.136,1
205,2022-01-31T10:30:00,0.059,1
206,2022-01-31T10:40:00,0.111,1
207,2022-01-31T10:50:00,0.097,1
208,2022-01-31T11:00:00,0.251,1
209,2022-01-31T11:10:00,0.151,1
210,2022-01-31T11:20:00,0.048,1
211,2022-01-31T11:40:00,0.098,1
212,2022-01-31T11:50:00,0.123,1
213,2022-01-31T12:00:00,0.094,1
214,2022-01-31T12:10:00,0.393,1
215,2022-01-31T12:20:00,0.937,1
216,2022-01-31T12:30:00,0.328,1
217,2022-01-31T12:40:00,0.139,1
218,2022-01-31T12:50:00,0.038,1
219,2022-01-31T13:50:00,0.058,1
220,2022-01-31T14:00:00,0.096,1
221,2022-01-31T14:40:00,0.128,1
222,2022-01-31T21:10:00,0.037,1
223,2022-01-31T21:20:00,0.034,1
224,2022-01-31T21:30:00,0.097,1
225,2022-01-31T22:00:00,0.078,1
226,2022-01-31T22:20:00,0.094,1
227,2022-01-31T22:40:00,0.082,1
228,2022-01-31T23:10:00,0.047,1
229,2022-01-31T23:40:00,0.036,1
230,2022-01-31T23:50:00,0.044,1
231,2022-02-01T00:00:00,0.026,1
232,2022-02-01T00:10:00,0.058,1
233,2022-02-01T00:30:00,0.031,1
234,2022-02-01T05:20:00,0.038,1
235,2022-02-01T06:10:00,0.041,1
236,2022-02-01T07:30:00,0.054,1
237,2022-02-01T07:50:00,0.039,1
238,2022-02-01T08:00:00,0.036,1
239,2022-02-01T08:10:00,0.063,1
240,2022-02-01T08:20:00,0.068,1
241,2022-02-01T08:30:00,0.031,1
242,2022-02-01T08:40:00,0.067,1
243,2022-02-01T09:00:00,0.086,1
244,2022-02-01T09:10:00,0.134,1
245,2022-02-01T09:30:00,0.155,1
246,2022-02-01T10:00:00,0.108,1
247,2022-02-01T10:10:00,0.025,1
248,2022-02-01T18:40:00,0.053,1
249,2022-02-01T19:20:00,0.077,1
250,2022-02-01T19:40:00,0.082,1
251,2022-02-01T19:50:00,0.037,1
252,2022-02-01T21:40:00,0.271,1
253,2022-02-01T21:50:00,0.32,1
254,2022-02-01T22:00:00,0.142,1
255,2022-02-01T22:20:00,0.141,1
256,2022-02-01T22:40:00,0.08,1
257,2022-02-01T22:50:00,0.069,1
258,2022-02-01T23:00:00,0.08,1
259,2022-02-01T23:10:00,0.026,1
260,2022-02-02T00:10:00,0.235,1
261,2022-02-02T00:20:00,0.238,1
262,2022-02-02T00:30:00,0.139,1
263,2022-02-02T00:40:00,0.127,1
264,2022-02-02T00:50:00,0.08,1
265,2022-02-02T01:00:00,0.086,1
266,2022-02-02T01:10:00,0.055,1
267,2022-02-02T01:20:00,0.105,1
268,2022-02-02T01:30:00,0.032,1
269,2022-02-02T01:40:00,0.077,1
270,2022-02-02T01:50:00,0.076,1
271,2022-02-02T02:10:00,0.041,1
272,2022-02-02T02:20:00,0.152,1
273,2022-02-02T02:30:00,0.033,1
274,2022-02-02T02:40:00,0.039,1
275,2022-02-02T02:50:00,0.03,1
276,2022-02-02T03:10:00,0.069,1
277,2022-02-02T04:20:00,0.041,1
278,2022-02-02T04:30:00,0.202,1
279,2022-02-02T04:40:00,0.028,1
280,2022-02-02T10:40:00,0.239,1
281,2022-02-02T10:50:00,0.194,1
282,2022-02-02T11:00:00,0.151,1
283,2022-02-02T11:40:00,0.045,1
284,2022-02-02T15:10:00,0.123,1
285,2022-02-02T15:20:00,0.075,1
286,2022-02-02T15:30:00,0.034,1
287,2022-02-02T15:40:00,0.057,1
288,2022-02-02T15:50:00,0.021,1
289,2022-02-02T16:20:00,0.041,1
290,2022-02-02T16:50:00,0.038,1
291,2022-02-02T17:00:00,0.021,1
292,2022-02-02T17:20:00,0.03,1
293,2022-02-02T17:30:00,0.049,1
294,2022-02-02T17:40:00,0.058,1
295,2022-02-02T20:30:00,0.039,1
296,2022-02-02T20:40:00,0.024,1
297,2022-02-02T23:40:00,0.042,1
298,2022-02-04T22:00:00,0.05,1
299,2022-02-05T01:10:00,0.068,1
300,2022-02-05T01:20:00,0.023,1
301,2022-02-05T02:00:00,0.082,1
302,2022-02-05T02:10:00,0.064,1
303,2022-02-05T02:20:00,0.02,1
304,2022-02-05T02:30:00,0.048,1
305,2022-02-05T03:00:00,0.083,1
306,2022-02-05T03:10:00,0.048,1
307,2022-02-05T03:20:00,0.032,1
308,2022-02-06T18:00:00,0.071,1
309,2022-02-06T19:30:00,0.046,1
310,2022-02-06T19:50:00,0.059,1
311,2022-02-07T01:10:00,0.203,1
312,2022-02-07T01:30:00,0.267,1
313,2022-02-07T01:40:00,0.207,1
314,2022-02-07T01:50:00,0.496,1
315,2022-02-07T02:00:00,0.142,1
316,2022-02-07T02:10:00,0.151,1
317,2022-02-07T02:20:00,0.181,1
318,2022-02-07T02:30:00,0.399,1
319,2022-02-07T02:40:00,0.819,1
320,2022-02-07T02:50:00,0.403,1
321,2022-02-07T03:00:00,0.935,1
322,2022-02-07T03:10:00,0.415,1
323,2022-02-07T03:20:00,0.308,1
324,2022-02-07T03:30:00,0.343,1
325,2022-02-07T03:40:00,0.118,1
326,2022-02-07T03:50:00,0.326,1
327,2022-02-07T04:00:00,1.537,1
328,2022-02-07T04:10:00,0.646,1
329,2022-02-07T04:20:00,0.785,1
330,2022-02-07T04:30:00,0.487,1
331,2022-02-07T04:40:00,0.086,1
332,2022-02-07T04:50:00,0.155,1
333,2022-02-07T08:10:00,0.063,1
334,2022-02-10T21:40:00,0.045,1
335,2022-02-10T21:50:00,0.047,1
336,2022-02-11T00:10:00,0.065,1
337,2022-02-11T01:00:00,0.241,1
338,2022-02-11T01:10:00,0.379,1
339,2022-02-11T01:20:00,0.095,1
340,2022-02-11T01:40:00,0.097,1
341,2022-02-11T01:50:00,0.284,1
342,2022-02-11T02:00:00,0.02,1
343,2022-02-11T02:20:00,0.054,1
344,2022-02-11T02:30:00,0.116,1
345,2022-02-11T02:40:00,0.095,1
346,2022-02-11T02:50:00,0.114,1
347,2022-02-11T03:00:00,0.34,1
348,2022-02-11T03:10:00,0.141,1
349,2022-02-11T03:20:00,0.183,1
